Bus Route,Delay Notice Time,Delay End Notice Time,Time Delayed,Notes,,Bus Route,Delay Notice Time,Notes
55,"October 13, 2025 at 8:07 PM","October 13, 2025 at 9:13 PM",1:06,Reroute due to fire department activity; southbound buses not affected,,67,"October 17, 2025 at 9:42 PM",Reroute due to blockage
79,"October 14, 2025 at 4:33 AM","October 14, 2025 at 5:40 AM",1:07,Reroute due to blockage,,9,"October 20, 2025 at 8:14 AM",Reroute due to blockage; northbound buses not affected
71,"October 14, 2025 at 7:44 AM","October 14, 2025 at 8:53 AM",1:09,Reroute due to blockage; southbound buses not affected,,X9,"October 20, 2025 at 8:14 AM",Reroute due to blockage; northbound buses not affected
86,"October 14, 2025 at 10:05 AM","October 14, 2025 at 1:47 PM",3:42,Reroute due to blockage; southbound buses not affected,,48,"October 20, 2025 at 10:35 AM",Reroute due to blockage
34,"October 14, 2025 at 4:35 PM","October 14, 2025 at 5:50 PM",1:15,Reroute due to blockage,,75,"October 20, 2025 at 3:21 PM",Reroute due to blockage; westbound buses not affected
119,"October 14, 2025 at 11:19 PM","October 16, 2025 at 4:45 AM",29:26,Reroute due to blockage,,66,"October 21, 2025 at 9:57 AM",Reroute due to blockage
67,"October 15, 2025 at 8:57 AM","October 16, 2025 at 4:47 AM",19:50,Reroute due to blockage; eastbound buses not affected,,9,"October 26, 2025 at 11:30 PM",Reroute due to blockage; northbound buses not affected
8A,"October 15, 2025 at 10:21 AM","October 15, 2025 at 2:03 PM",3:42,Reroute due to blockage; northbound buses not affected,,71,"October 30, 2025 at 9:24 AM",Reroute due to blockage; southbound buses not affected
146,"October 15, 2025 at 10:37 PM","October 16, 2025 at 12:57 AM",2:20,Reroute due to blockage; northbound buses not affected,,172,"October 31, 2025 at 2:45 PM",Reroute due to blockage; northbound buses not affected
63,"October 16, 2025 at 4:20 AM","October 16, 2025 at 4:54 AM",0:34,Reroute due to blockage; eastbound buses not affected,,22,"October 31, 2025 at 4:50 PM",Reroute due to police activity
34,"October 17, 2025 at 5:55 AM","October 17, 2025 at 8:04 AM",2:09,Reroute due to blockage; southbound buses not affected,,60,"November 1, 2025 at 9:14 PM",Reroute due to blockage
63,"October 17, 2025 at 6:11 AM","October 17, 2025 at 6:43 AM",0:32,Reroute due to blockage,,26,"November 4, 2025 at 1:40 PM",Reroute due to blockage
70,"October 17, 2025 at 6:28 AM","October 17, 2025 at 8:32 AM",2:04,"Reroute due to blockage, westbound buses not affected",,8,"November 4, 2025 at 5:59 PM",Reroute due to blockage
36,"October 17, 2025 at 6:29 AM","October 17, 2025 at 8:32 AM",2:03,Reroute due to police activity,,192,"November 10, 2025 at 3:58 AM",Reroute due to severe weather conditions; northbound buses not affected
6,"October 17, 2025 at 12:34 PM","October 17, 2025 at 8:32 PM",7:58,"Reroute due to blockage, northbound buses not affected",,47,"November 14, 2025 at 11:01 PM",Reroute due to blockage
66,"October 17, 2025 at 2:54 PM","October 18, 2025 at 1:59 AM",11:05,Reroute due to blockage,,50,"November 15, 2025 at 7:53 AM",Reroute due to blockage; northbound buses not affected
9,"October 17, 2025 at 5:01 PM","October 17, 2025 at 7:53 PM",2:52,Reroute due to blockage; northbound buses not affected,,6,"November 18, 2025 at 2:01 AM",Reroute due to blockage
63,"October 17, 2025 at 6:03 PM","October 18, 2025 at 3:37 AM",9:34,Reroute due to fire department activity,,26,"November 18, 2025 at 2:01 AM",Reroute due to blockage
31,"October 17, 2025 at 7:26 PM","October 17, 2025 at 8:55 PM",1:29,Reroute due to blockage; westbound buses not affected,,71,"November 18, 2025 at 2:03 AM",Reroute due to blockage
24,"October 17, 2025 at 7:31 PM","October 17, 2025 at 8:55 PM",1:24,Reroute due to blockage; northbound buses not affected,,108,"November 20, 2025 at 8:25 AM",Reroute due to blockage; southbound buses not affected
75,"October 17, 2025 at 10:38 PM","October 18, 2025 at 2:00 AM",3:22,Reroute due to blockage,,147,"November 22, 2025 at 6:03 PM",Reroute due to a festival
53,"October 18, 2025 at 2:07 AM","October 18, 2025 at 3:35 AM",1:28,Reroute due to fire department activity,,28,"November 25, 2025 at 9:33 PM",Reroute due to police activity
50,"October 18, 2025 at 11:58 AM","October 18, 2025 at 6:01 PM",6:03,Reroute due to blockage; southbound buses not affected,,4,"November 30, 2025 at 6:12 PM",Reroute due to police activity; northbound buses not affected
63,"October 18, 2025 at 12:08 PM","October 18, 2025 at 9:03 PM",8:55,Reroute due to blockage,,52A,"December 22, 2025 at 6:44 AM",Reroute due to blockage
201,"October 18, 2025 at 12:15 PM","October 18, 2025 at 5:55 PM",5:40,Reroute due to a parade/festival; northbound buses not affected,,53A,"December 22, 2025 at 6:44 AM",Reroute due to blockage
126,"October 18, 2025 at 2:17 PM","October 18, 2025 at 4:03 PM",1:46,Reroute due to fire department activity,,112,"December 22, 2025 at 6:44 AM",Reroute due to blockage
20,"October 18, 2025 at 3:22 PM","October 18, 2025 at 9:07 PM",5:45,Reroute due to a parade; westbound buses not affected,,93,"December 22, 2025 at 9:51 AM",Reroute due to blockage
